Task,corrAns,StimFile,Name,Proffession,Letter1,Letter2,Letter3,Recall_Name.thisRepN,Recall_Name.thisTrialN,Recall_Name.thisN,Recall_Name.thisIndex,Recall_Proffession.thisRepN,Recall_Proffession.thisTrialN,Recall_Proffession.thisN,Recall_Proffession.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,polygon_3.started,polygon_3.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
recall_proffessions,1,Images_Faces/SH18.png,0,Lastbilschaufför,L.,S.,H.,,,,,0,0,0,16,1,0.993709599977592,13.290902700013248,None,13.290902700013248,None,13.290902700013248,None,18.23587080001016,None,None,18.23587080001016,None,,,001,2022_Oct_21_1126,Gallery_fMRI,2021.2.3,60.670739288385576,
recall_proffessions,3,Images_Faces/SH27.png,0,Golvläggare,G.,N.,L.,,,,,0,1,1,25,3,0.7836125000030734,18.756975900003454,None,18.756975900003454,None,18.756975900003454,None,23.727660400007153,None,1,23.727660400007153,None,0.43636270001297817,,001,2022_Oct_21_1126,Gallery_fMRI,2021.2.3,60.670739288385576,
recall_proffessions,1,Images_Faces/SH25.png,0,Smed,S.,P.,K.,,,,,0,2,2,23,1,3.310890199994901,24.215430200012634,None,24.215430200012634,None,24.215430200012634,None,29.225473900005454,None,2,29.225473900005454,None,0.44287959998473525,,001,2022_Oct_21_1126,Gallery_fMRI,2021.2.3,60.670739288385576,
recall_proffessions,3,Images_Faces/SH29.png,0,Nätverkstekniker,N.,S.,M.,,,,,0,3,3,27,2,0.6152359000116121,29.71312939998461,None,29.71312939998461,None,29.71312939998461,None,34.72328189999098,None,None,34.72328189999098,None,,,001,2022_Oct_21_1126,Gallery_fMRI,2021.2.3,60.670739288385576,
recall_proffessions,2,Images_Faces/SH9.png,0,Företagssäljare,F.,S.,F.,,,,,0,4,4,7,3,0.7294772999885026,35.244473700004164,None,35.244473700004164,None,35.244473700004164,None,40.23458940000273,None,None,40.23458940000273,None,,,001,2022_Oct_21_1126,Gallery_fMRI,2021.2.3,60.670739288385576,
recall_proffessions,3,Images_Faces/SH16.png,0,Sjuksköterska,S.,L.,G.,,,,,0,5,5,14,1,0.7001864000048954,40.75544599999557,None,40.75544599999557,None,40.75544599999557,None,45.72969879998709,None,2,45.72969879998709,None,0.29217979998793453,,001,2022_Oct_21_1126,Gallery_fMRI,2021.2.3,60.670739288385576,
recall_proffessions,3,Images_Faces/SH14.png,0,Snickare,S.,S.,F.,,,,,0,6,6,12,2,0.3487557000189554,46.070043199986685,None,46.070043199986685,None,46.070043199986685,None,51.076675499993144,None,None,51.076675499993144,None,,,001,2022_Oct_21_1126,Gallery_fMRI,2021.2.3,60.670739288385576,
recall_proffessions,2,Images_Faces/SH4.png,0,Fritidspedagog,F.,T.,B.,,,,,0,7,7,2,2,0.47970409999834374,51.598171099991305,None,51.598171099991305,None,51.598171099991305,None,56.604026799992425,None,None,56.604026799992425,None,,,001,2022_Oct_21_1126,Gallery_fMRI,2021.2.3,60.670739288385576,
recall_proffessions,2,Images_Faces/SH3.png,0,Undersköterska,U.,U.,B.,,,,,0,8,8,1,3,0.7566226999915671,57.12517149999621,None,57.12517149999621,None,57.12517149999621,None,62.136483200010844,None,None,62.136483200010844,None,,,001,2022_Oct_21_1126,Gallery_fMRI,2021.2.3,60.670739288385576,
recall_proffessions,2,Images_Faces/SH23.png,0,Banktjänsteman,B.,P.,K.,,,,,0,9,9,21,1,0.8522554000082891,62.657643899990944,None,62.657643899990944,None,62.657643899990944,None,67.66966179999872,None,None,67.66966179999872,None,,,001,2022_Oct_21_1126,Gallery_fMRI,2021.2.3,60.670739288385576,
