Task,corrAns,StimFile,Name,Proffession,Letter1,Letter2,Letter3,NotSeen,Encoding_Name.thisRepN,Encoding_Name.thisTrialN,Encoding_Name.thisN,Encoding_Name.thisIndex,Encoding_Profession.thisRepN,Encoding_Profession.thisTrialN,Encoding_Profession.thisN,Encoding_Profession.thisIndex,Recall_Name.thisRepN,Recall_Name.thisTrialN,Recall_Name.thisN,Recall_Name.thisIndex,Recall_Proffession.thisRepN,Recall_Proffession.thisTrialN,Recall_Proffession.thisN,Recall_Proffession.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_9.started,text_9.stopped,polygon_7.started,polygon_7.stopped,Jitter,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,image_3.started,image_3.stopped,text_8.started,text_8.stopped,text_10.started,text_10.stopped,polygon_8.started,polygon_8.stopped,text_6.started,text_6.stopped,polygon_5.started,polygon_5.stopped,key_resp_1.keys,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,text_4.started,text_4.stopped,text_7.started,text_7.stopped,polygon_6.started,polygon_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,s,1.6616294999985257,12.761543900000106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_name,3,Images_Faces/O39.jpg,Björn,0,J.,R.,B.,,0,0,0,8,,,,,,,,,,,,,,,,,29.46567420000065,34.4752701000034,34.43716149999818,None,6.0,None,36.50507310000103,None,36.50507310000103,None,36.50507310000103,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_name,1,Images_Faces/O34.jpg,Mats,0,M.,B.,R.,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,8.5,None,46.47174809999706,None,46.47174809999706,None,46.47174809999706,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_name,3,Images_Faces/O36.jpg,Jonas,0,S.,K.,J.,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,9.25,None,58.97960430000239,None,58.97960430000239,None,58.97960430000239,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_name,3,Images_Faces/O37.jpg,Ulf,0,N.,K.,U.,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,7.0,None,72.24764999999752,None,72.24764999999752,None,72.24764999999752,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_name,2,Images_Faces/O45.jpg,Marcus,0,T.,M.,B.,,0,4,4,14,,,,,,,,,,,,,,,,,,,,,3.0,None,83.25478409999778,None,83.25478409999778,None,83.25478409999778,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_name,3,Images_Faces/O35.jpg,Henrik,0,B.,K.,H.,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,9.5,None,90.27176619999955,None,90.27176619999955,None,90.27176619999955,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_name,3,Images_Faces/O31.jpg,Filip,0,P.,V.,F.,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,8.0,None,103.78887329999998,None,103.78887329999998,None,103.78887329999998,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_name,2,Images_Faces/O42.jpg,Robert,0,D.,R.,J.,,0,7,7,11,,,,,,,,,,,,,,,,,,,,,8.5,None,115.79662549999921,None,115.79662549999921,None,115.79662549999921,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
encoding_name,1,Images_Faces/O44.jpg,Viktor,0,V.,C.,F.,,0,8,8,13,,,,,,,,,,,,,,,,,,,,,9.25,None,128.31387830000313,None,128.31387830000313,None,128.31387830000313,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_1210,FacesNamesProffessions_Encoding,2021.2.3,118.68464184918903,
