Task,corrAns,StimFile,Name,Proffession,Letter1,Letter2,Letter3,NotSeen,Encoding_Name.thisRepN,Encoding_Name.thisTrialN,Encoding_Name.thisN,Encoding_Name.thisIndex,Encoding_Profession.thisRepN,Encoding_Profession.thisTrialN,Encoding_Profession.thisN,Encoding_Profession.thisIndex,Recall_Name.thisRepN,Recall_Name.thisTrialN,Recall_Name.thisN,Recall_Name.thisIndex,Recall_Proffession.thisRepN,Recall_Proffession.thisTrialN,Recall_Proffession.thisN,Recall_Proffession.thisIndex,text_9.started,text_9.stopped,polygon_7.started,polygon_7.stopped,Jitter,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,image_3.started,image_3.stopped,text_8.started,text_8.stopped,text_10.started,text_10.stopped,polygon_8.started,polygon_8.stopped,text_6.started,text_6.stopped,polygon_5.started,polygon_5.stopped,key_resp_1.keys,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,text_4.started,text_4.stopped,text_7.started,text_7.stopped,polygon_6.started,polygon_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
encoding_name,2,Images_Faces/O47.jpg,Niklas,0,R.,N.,E.,,0,0,0,1,,,,,,,,,,,,,19.161051100003533,24.185557000047993,24.1354585000081,None,7.5,None,26.197885900037363,None,26.197885900037363,None,26.197885900037363,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_21_1027,FacesNamesProffessions_Encoding,2021.2.3,59.987066801652325,
encoding_name,2,Images_Faces/O46.jpg,Emil,0,U.,E.,R.,,0,1,1,0,,,,,,,,,,,,,,,,,4.5,None,37.68234320002375,None,37.68234320002375,None,37.68234320002375,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_21_1027,FacesNamesProffessions_Encoding,2021.2.3,59.987066801652325,
encoding_name,2,Images_Faces/O48.jpg,Bertil,0,S.,B.,A.,,0,2,2,2,,,,,,,,,,,,,,,,,5.0,None,46.186833600047976,None,46.186833600047976,None,46.186833600047976,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_21_1027,FacesNamesProffessions_Encoding,2021.2.3,59.987066801652325,
encoding_proffession,1,Images_Faces/SH47.png,0,Plåtslagare,P.,K.,B.,,,,,,0,0,0,1,,,,,,,,,,,,,9.75,None,62.21001400001114,None,62.21001400001114,None,62.21001400001114,None,55.17714040004648,60.17945840000175,60.1628333000117,None,,,,,,,,,,,,,,,,,001,2022_Nov_21_1027,FacesNamesProffessions_Encoding,2021.2.3,59.987066801652325,
encoding_proffession,3,Images_Faces/SH46.png,0,Inköpare,R.,H.,I.,,,,,,0,1,1,0,,,,,,,,,,,,,8.0,None,75.94970330002252,None,75.94970330002252,None,75.94970330002252,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_21_1027,FacesNamesProffessions_Encoding,2021.2.3,59.987066801652325,
encoding_proffession,1,Images_Faces/SH48.png,0,Jurist,J.,F.,S.,,,,,,0,2,2,2,,,,,,,,,,,,,8.75,None,87.95540249999613,None,87.95540249999613,None,87.95540249999613,None,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_21_1027,FacesNamesProffessions_Encoding,2021.2.3,59.987066801652325,
recall_names,2,Images_Faces/O47.jpg,Niklas,0,R.,N.,E.,NY,,,,,,,,,0,0,0,1,,,,,,,,,3.0,,,,,,,,,,,,100.71297849999974,105.71723380003823,105.68362940003863,None,None,107.74805029999698,None,107.74805029999698,None,107.74805029999698,None,,,,,,001,2022_Nov_21_1027,FacesNamesProffessions_Encoding,2021.2.3,59.987066801652325,
recall_names,2,Images_Faces/O46.jpg,Emil,0,U.,E.,R.,NY,,,,,,,,,0,1,1,0,,,,,,,,,9.25,,,,,,,,,,,,,,,,None,114.73490880004829,None,114.73490880004829,None,114.73490880004829,None,,,,,,001,2022_Nov_21_1027,FacesNamesProffessions_Encoding,2021.2.3,59.987066801652325,
recall_names,2,Images_Faces/O48.jpg,Bertil,0,S.,B.,A.,NY,,,,,,,,,0,2,2,2,,,,,,,,,5.25,,,,,,,,,,,,,,,,None,127.99078809999628,None,127.99078809999628,None,127.99078809999628,None,,,,,,001,2022_Nov_21_1027,FacesNamesProffessions_Encoding,2021.2.3,59.987066801652325,
recall_proffessions,3,Images_Faces/SH46.png,0,Inköpare,R.,H.,I.,NY,,,,,,,,,,,,,0,0,0,0,,,,,9.25,,,,,,,,,,,,,,,,None,144.25112190004438,None,144.25112190004438,None,144.25112190004438,None,137.23187509999843,142.23416590003762,142.20065310003702,None,,001,2022_Nov_21_1027,FacesNamesProffessions_Encoding,2021.2.3,59.987066801652325,
recall_proffessions,1,Images_Faces/SH47.png,0,Plåtslagare,P.,K.,B.,NY,,,,,,,,,,,,,0,1,1,1,,,,,5.0,,,,,,,,,,,,,,,,None,157.50430940004298,None,157.50430940004298,None,157.50430940004298,None,,,,,,001,2022_Nov_21_1027,FacesNamesProffessions_Encoding,2021.2.3,59.987066801652325,
recall_proffessions,1,Images_Faces/SH48.png,0,Jurist,J.,F.,S.,NY,,,,,,,,,,,,,0,2,2,2,,,,,4.75,,,,,,,,,,,,,,,,None,166.5090354999993,None,166.5090354999993,None,166.5090354999993,None,,,,,,001,2022_Nov_21_1027,FacesNamesProffessions_Encoding,2021.2.3,59.987066801652325,
