NumberLetter,corrAns,StimFile,ImgType,ArrowImg,ImgOrientation,Congruency,Direction,Randomization_loop.thisRepN,Randomization_loop.thisTrialN,Randomization_loop.thisN,Randomization_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Condition_rows,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,8.48668490000091,None,1,1.4687218999988545,8.48668490000091,None,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,bus.jpg,Vehicles,ArrowRight.png,None,None,None,0,0,0,22,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,armadillo.jpg,Animal,ArrowLeft.png,left,Congruent,ArrowLeft.png,0,1,1,0,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,rocking_chair.jpg,Furniture,ArrowUp.png,None,None,None,0,2,2,44,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,cat.jpg,Animal,ArrowUp.png,None,None,ArrowUp.png,0,3,3,2,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,rhino.jpg,Animal,ArrowLeft.png,None,None,None,0,4,4,15,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,bedside_table.jpg,Furniture,ArrowLeft.png,None,None,None,0,5,5,36,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,scooter.jpg,Vehicles,ArrowRight.png,None,None,None,0,6,6,28,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,lynx.jpg,Animal,ArrowRight.png,None,None,None,0,7,7,13,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,dromedary.jpg,Animal,ArrowLeft.png,None,None,None,0,8,8,6,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,sofa.jpg,Furniture,ArrowLeft.png,None,None,None,0,9,9,45,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,snake.jpg,Animal,ArrowRight.png,None,None,None,0,10,10,16,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,van.jpg,Vehicles,ArrowLeft.png,None,None,None,0,11,11,33,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,skateboard.jpg,Vehicles,ArrowLeft.png,None,None,None,0,12,12,30,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,ship.jpg,Vehicles,ArrowUp.png,None,None,None,0,13,13,29,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,tractor.jpg,Vehicles,ArrowRight.png,None,None,None,0,14,14,31,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,car.jpg,Vehicles,ArrowUp.png,None,None,None,0,15,15,23,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,boat.jpg,Vehicles,ArrowLeft.png,None,None,None,0,16,16,21,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,stool.jpg,Furniture,ArrowRight.png,None,None,None,0,17,17,46,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,turtle.jpg,Animal,ArrowRight.png,None,None,None,0,18,18,19,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,plane.jpg,Vehicles,ArrowLeft.png,None,None,None,0,19,19,27,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,kangaroo.jpg,Animal,ArrowUp.png,None,None,None,0,20,20,11,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,chair.jpg,Furniture,ArrowUp.png,None,None,None,0,21,21,38,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,bookcase.jpg,Furniture,ArrowRight.png,neutral,neutral,None,0,22,22,37,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,crocodile.jpg,Animal,ArrowUp.png,right,Incongruent - perpendicular,None,0,23,23,5,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,lioness.jpg,Animal,ArrowLeft.png,None,None,None,0,24,24,12,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,motorbike.jpg,Vehicles,ArrowRight.png,None,None,None,0,25,25,25,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,giraffe.jpg,Animal,ArrowUp.png,None,None,None,0,26,26,8,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,elephant.jpg,Animal,ArrowRight.png,None,None,None,0,27,27,7,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,lectern.jpg,Furniture,ArrowRight.png,None,None,None,0,28,28,43,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,paragliding.jpg,Vehicles,ArrowUp.png,None,None,None,0,29,29,26,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,filling_cabinet.jpg,Furniture,ArrowUp.png,None,None,None,0,30,30,41,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,zebra.jpg,Animal,ArrowUp.png,None,None,None,0,31,31,20,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,cow.jpg,Animal,ArrowRight.png,None,None,None,0,32,32,4,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,hippopotamus.jpg,Animal,ArrowLeft.png,None,None,None,0,33,33,9,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,cart.jpg,Vehicles,ArrowLeft.png,None,None,None,0,34,34,24,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,bed.jpg,Furniture,ArrowUp.png,None,None,None,0,35,35,35,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,lamp.jpg,Furniture,ArrowLeft.png,None,None,None,0,36,36,42,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,table.jpg,Furniture,ArrowUp.png,None,None,None,0,37,37,47,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,tiger.jpg,Animal,ArrowLeft.png,None,None,None,0,38,38,18,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,train,Vehicles,ArrowUp.png,None,None,None,0,39,39,32,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,platypus.jpg,Animal,ArrowUp.png,None,None,None,0,40,40,14,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,2,tapir.jpg,Animal,ArrowUp.png,None,None,None,0,41,41,17,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,Chest_of_drawers.jpg,Furniture,ArrowLeft.png,None,None,None,0,42,42,39,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,horse.jpg,Animal,ArrowRight.png,None,None,None,0,43,43,10,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,armchair.jpg,Furniture,ArrowRight.png,None,None,None,0,44,44,34,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,1,cheetah.jpg,Animal,ArrowLeft.png,None,None,None,0,45,45,3,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,bat.jpg,Animal,ArrowRight.png,left,Incongruent - opposite,ArrowRight.png,0,46,46,1,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
None,3,couch.jpg,Furniture,ArrowRight.png,None,None,None,0,47,47,40,,,,,,,,,,,,,,,,,001,2021_Dec_01_2121,Gallery_fMRI,2021.2.3,59.8825344205376,
