NumberLetter,corrAns,StimFile,ImgType,ArrowImg,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,14.706197899999097,None,1,1.538670999929309,14.706197899999097,None,,,,,,,,,,,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,3,lectern.jpg,Furniture,ArrowRight.png,None,None,0,0,0,43,,,,,,,3,1.3879101001657546,16.309468899853528,None,16.309468899853528,None,16.309468899853528,None,17.76141949999146,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,3,cow.jpg,Animal,ArrowRight.png,None,None,0,1,1,4,,,,,,,2,0.6399691000115126,18.762582999886945,None,18.762582999886945,None,18.762582999886945,None,19.428822699934244,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,1,van.jpg,Vehicles,ArrowLeft.png,None,None,0,2,2,33,,,,,,,2,0.05525520001538098,20.529116299934685,None,20.529116299934685,None,20.529116299934685,None,20.67739379988052,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,1,hippopotamus.jpg,Animal,ArrowLeft.png,None,None,0,3,3,9,,,,,,,2,1.1422345999162644,21.760880699846894,None,21.760880699846894,None,21.760880699846894,None,23.004434499889612,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,2,zebra.jpg,Animal,ArrowUp.png,None,None,0,4,4,20,,,,,,,2,0.8518915001768619,24.029718899866566,None,24.029718899866566,None,24.029718899866566,None,24.946146699832752,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,2,kangaroo.jpg,Animal,ArrowUp.png,None,None,0,5,5,11,,,,,,,1,1.1059479000978172,26.015201299916953,None,26.015201299916953,None,26.015201299916953,None,27.14704509987496,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,1,cart.jpg,Vehicles,ArrowLeft.png,None,None,0,6,6,24,,,,,,,1,1.0486279998440295,28.233852999983355,None,28.233852999983355,None,28.233852999983355,None,29.350081800017506,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,3,scooter.jpg,Vehicles,ArrowRight.png,None,None,0,7,7,28,,,,,,,3,0.6776550998911262,30.366374999983236,None,30.366374999983236,None,30.366374999983236,None,31.13253549998626,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,2,filling_cabinet.jpg,Furniture,ArrowUp.png,None,None,0,8,8,41,,,,,,,2,0.32155609992332757,32.151943400036544,None,32.151943400036544,None,32.151943400036544,None,32.53503569983877,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,3,horse.jpg,Animal,ArrowRight.png,None,None,0,9,9,10,,,,,,,2,0.293610000051558,33.621298199985176,None,33.621298199985176,None,33.621298199985176,None,33.9357201999519,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,2,tapir.jpg,Animal,ArrowUp.png,None,None,0,10,10,17,,,,,,,2,0.4962013999465853,35.00410069990903,None,35.00410069990903,None,35.00410069990903,None,35.56962279998697,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,3,elephant.jpg,Animal,ArrowRight.png,None,None,0,11,11,7,,,,,,,2,0.45238579995930195,36.58582799998112,None,36.58582799998112,None,36.58582799998112,None,37.10182320000604,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,3,snake.jpg,Animal,ArrowRight.png,None,None,0,12,12,16,,,,,,,2,1.0742164000403136,38.106299199862406,None,38.106299199862406,None,38.106299199862406,None,39.204569899942726,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,2,ship.jpg,Vehicles,ArrowUp.png,None,None,0,13,13,29,,,,,,,2,0.7674969001673162,40.3040532998275,None,40.3040532998275,None,40.3040532998275,None,41.106984599959105,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,1,armadillo.jpg,Animal,ArrowLeft.png,None,10,0,14,14,0,,,,,,,2,0.9021932000759989,42.193225799826905,None,42.193225799826905,None,42.193225799826905,None,43.17322969995439,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,2,cat.jpg,Animal,ArrowUp.png,None,None,0,15,15,2,,,,,,,2,0.9780356001574546,44.18917549983598,None,44.18917549983598,None,44.18917549983598,None,45.190742699895054,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,1,skateboard.jpg,Vehicles,ArrowLeft.png,None,None,0,16,16,30,,,,,,,1,0.5049547001253814,46.255447699921206,None,46.255447699921206,None,46.255447699921206,None,46.82490909984335,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,2,platypus.jpg,Animal,ArrowUp.png,None,None,0,17,17,14,,,,,,,3,0.2855146999936551,47.8408202000428,None,47.8408202000428,None,47.8408202000428,None,48.20881019998342,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,2,train,Vehicles,ArrowUp.png,None,None,0,18,18,32,,,,,,,2,0.23570730001665652,49.299679999938235,None,49.299679999938235,None,49.299679999938235,None,49.5928028000053,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,2,table.jpg,Furniture,ArrowUp.png,None,None,0,19,19,47,,,,,,,1,0.19692729995585978,50.66719749988988,None,50.66719749988988,None,50.66719749988988,None,50.960029899841174,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,2,bed.jpg,Furniture,ArrowUp.png,None,None,0,20,20,35,,,,,,,2,0.25732040009461343,51.96269589988515,None,51.96269589988515,None,51.96269589988515,None,52.244210300035775,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,1,sofa.jpg,Furniture,ArrowLeft.png,None,None,0,21,21,45,,,,,,,3,0.22028789995238185,53.32664730004035,None,53.32664730004035,None,53.32664730004035,None,53.59270089981146,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,3,tractor.jpg,Vehicles,ArrowRight.png,None,None,0,22,22,31,,,,,,,1,0.21816160017624497,54.69438949995674,None,54.69438949995674,None,54.69438949995674,None,54.976655500009656,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,1,bedside_table.jpg,Furniture,ArrowLeft.png,None,None,0,23,23,36,,,,,,,2,0.2086087001953274,56.0606523999013,None,56.0606523999013,None,56.0606523999013,None,56.36085910000838,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,3,couch.jpg,Furniture,ArrowRight.png,None,None,0,24,24,40,,,,,,,3,0.4137669000774622,57.446413999889046,None,57.446413999889046,None,57.446413999889046,None,57.880355099914595,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,3,bat.jpg,Animal,ArrowRight.png,None,None,0,25,25,1,,,,,,,1,0.07108999998308718,58.9544369999785,None,58.9544369999785,None,58.9544369999785,None,59.11193779995665,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,3,lynx.jpg,Animal,ArrowRight.png,None,None,0,26,26,13,,,,,,,2,0.16069529997184873,60.14796689990908,None,60.14796689990908,None,60.14796689990908,None,60.39653649996035,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,1,lioness.jpg,Animal,ArrowLeft.png,None,None,0,27,27,12,,,,,,,1,0.3758564000017941,61.39918509987183,None,61.39918509987183,None,61.39918509987183,None,61.79924490000121,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,1,lamp.jpg,Furniture,ArrowLeft.png,None,None,0,28,28,42,,,,,,,1,0.4197865000460297,62.87134489999153,None,62.87134489999153,None,62.87134489999153,None,63.316063799895346,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,3,bookcase.jpg,Furniture,ArrowRight.png,None,None,0,29,29,37,,,,,,,3,0.3784070999827236,64.39239669987,None,64.39239669987,None,64.39239669987,None,64.83119629998691,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,2,car.jpg,Vehicles,ArrowUp.png,None,None,0,30,30,23,,,,,,,2,0.3001950001344085,65.91627369984053,None,65.91627369984053,None,65.91627369984053,None,66.23382359999232,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,2,chair.jpg,Furniture,ArrowUp.png,None,None,0,31,31,38,,,,,,,2,0.42223919997923076,67.29912099987268,None,67.29912099987268,None,67.29912099987268,None,67.75126939988695,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,1,rhino.jpg,Animal,ArrowLeft.png,None,None,0,32,32,15,,,,,,,1,0.39507119986228645,68.8196782998275,None,68.8196782998275,None,68.8196782998275,None,69.25232999981381,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
None,1,boat.jpg,Vehicles,ArrowLeft.png,None,None,0,33,33,21,,,,,,,1,0.6724152998067439,70.34078569989651,None,70.34078569989651,None,70.34078569989651,None,71.05081469984725,None,,001,2021_Nov_10_1234,Gallery_fMRI,2021.2.3,None,
