NumberLetter,corrAns,StimFile,ImgType,ArrowImg,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,polygon.started,polygon.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,14.524834200041369,None,2,0.4130448999349028,14.524834200041369,None,,,,,,,,,,,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,platypus.jpg,Animal,ArrowUp.png,None,None,0,0,0,14,,,,,,,,,,,2,1.4946993999183178,15.046486699953675,None,15.046486699953675,None,15.046486699953675,None,16.565186799969524,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,table.jpg,Furniture,ArrowUp.png,None,None,0,1,1,47,,,,,,,,,,,2,0.8385354001075029,17.63596610003151,None,17.63596610003151,None,17.63596610003151,None,18.499335899949074,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,ship.jpg,Vehicles,ArrowUp.png,None,None,0,2,2,29,,,,,,,,,,,2,0.8726178000215441,19.533467000117525,None,19.533467000117525,None,19.533467000117525,None,20.465268300147727,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,scooter.jpg,Vehicles,ArrowRight.png,None,None,0,3,3,28,,,,,,,,,,,3,0.8422024000901729,21.549823200097308,None,21.549823200097308,None,21.549823200097308,None,22.417939600069076,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,tractor.jpg,Vehicles,ArrowRight.png,None,None,0,4,4,31,,,,,,,,,,,3,0.9121052001137286,23.489569399971515,None,23.489569399971515,None,23.489569399971515,None,24.418870700057596,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,tapir.jpg,Animal,ArrowUp.png,None,None,0,5,5,17,,,,,,,,,,,2,0.6957074000965804,25.518087700009346,None,25.518087700009346,None,25.518087700009346,None,26.30148350005038,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,zebra.jpg,Animal,ArrowUp.png,None,None,0,6,6,20,,,,,,,,,,,2,0.7058832000475377,27.304137700004503,None,27.304137700004503,None,27.304137700004503,None,28.102980999974534,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,bookcase.jpg,Furniture,ArrowRight.png,None,None,0,7,7,37,,,,,,,,,,,3,0.7562296001706272,29.119812299963087,None,29.119812299963087,None,29.119812299963087,None,29.91946080001071,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,van.jpg,Vehicles,ArrowLeft.png,None,None,0,8,8,33,,,,,,,,,,,1,1.0952759999781847,31.005073100095615,None,31.005073100095615,None,31.005073100095615,None,32.1223556001205,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,lynx.jpg,Animal,ArrowRight.png,None,None,0,9,9,13,,,,,,,,,,,3,0.973018900025636,33.206637300085276,None,33.206637300085276,None,33.206637300085276,None,34.208234700141475,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,couch.jpg,Furniture,ArrowRight.png,None,None,0,10,10,40,,,,,,,,,,,3,0.6872574998997152,35.22582280007191,None,35.22582280007191,None,35.22582280007191,None,35.94082470005378,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,rhino.jpg,Animal,ArrowLeft.png,None,None,0,11,11,15,,,,,,,,,,,1,0.8647706999909133,37.00798220001161,None,37.00798220001161,None,37.00798220001161,None,37.95373350009322,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,snake.jpg,Animal,ArrowRight.png,None,None,0,12,12,16,,,,,,,,,,,3,0.8729570000432432,38.974672000156716,None,38.974672000156716,None,38.974672000156716,None,39.91059670015238,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,car.jpg,Vehicles,ArrowUp.png,None,None,0,13,13,23,,,,,,,,,,,2,0.5145940000656992,41.00856889993884,None,41.00856889993884,None,41.00856889993884,None,41.574862899957225,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,bat.jpg,Animal,ArrowRight.png,None,None,0,14,14,1,,,,,,,,,,,3,0.5727101000957191,42.65795399993658,None,42.65795399993658,None,42.65795399993658,None,43.261796900071204,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,skateboard.jpg,Vehicles,ArrowLeft.png,None,None,0,15,15,30,,,,,,,,,,,1,0.41175580001436174,44.36156999995001,None,44.36156999995001,None,44.36156999995001,None,44.79484540014528,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,lamp.jpg,Furniture,ArrowLeft.png,None,None,0,16,16,42,,,,,,,,,,,1,0.5332229000050575,45.878930600127205,None,45.878930600127205,None,45.878930600127205,None,46.47729349997826,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,boat.jpg,Vehicles,ArrowLeft.png,None,None,0,17,17,21,,,,,,,,,,,1,0.5186573001556098,47.56461809994653,None,47.56461809994653,None,47.56461809994653,None,48.11395699996501,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,motorbike.jpg,Vehicles,ArrowRight.png,None,None,0,18,18,25,,,,,,,,,,,3,0.5161618001293391,49.12933979998343,None,49.12933979998343,None,49.12933979998343,None,49.663752699969336,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,stool.jpg,Furniture,ArrowRight.png,None,None,0,19,19,46,,,,,,,,,,,3,0.5072202999144793,50.72853370010853,None,50.72853370010853,None,50.72853370010853,None,51.29785540001467,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,armadillo.jpg,Animal,ArrowLeft.png,None,10,0,20,20,0,,,,,,,,,,,1,0.4242951001506299,52.38728639995679,None,52.38728639995679,None,52.38728639995679,None,52.832250700099394,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,dromedary.jpg,Animal,ArrowLeft.png,None,None,0,21,21,6,,,,,,,,,,,2,0.3070497999433428,53.84972669999115,None,53.84972669999115,None,53.84972669999115,None,54.24915680009872,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,giraffe.jpg,Animal,ArrowUp.png,None,None,0,22,22,8,,,,,,,,,,,2,0.39800200005993247,55.250409400090575,None,55.250409400090575,None,55.250409400090575,None,55.66673590010032,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,cheetah.jpg,Animal,ArrowLeft.png,None,None,0,23,23,3,,,,,,,,,,,1,0.41398720000870526,56.74912720010616,None,56.74912720010616,None,56.74912720010616,None,57.18407019996084,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,tiger.jpg,Animal,ArrowLeft.png,None,None,0,24,24,18,,,,,,,,,,,1,0.4877015999518335,58.24471200001426,None,58.24471200001426,None,58.24471200001426,None,58.816011799965054,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,cat.jpg,Animal,ArrowUp.png,None,None,0,25,25,2,,,,,,,,,,,2,0.5413056998513639,59.90223539993167,None,59.90223539993167,None,59.90223539993167,None,60.46876160008833,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,cart.jpg,Vehicles,ArrowLeft.png,None,None,0,26,26,24,,,,,,,,,,,1,0.42202960001304746,61.55210370011628,None,61.55210370011628,None,61.55210370011628,None,62.00294469995424,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,horse.jpg,Animal,ArrowRight.png,None,None,0,27,27,10,,,,,,,,,,,3,0.5505391000770032,63.07357820007019,None,63.07357820007019,None,63.07357820007019,None,63.636943500023335,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,cow.jpg,Animal,ArrowRight.png,None,None,0,28,28,4,,,,,,,,,,,3,0.3790967999957502,64.64052859996445,None,64.64052859996445,None,64.64052859996445,None,65.03777240007184,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,hippopotamus.jpg,Animal,ArrowLeft.png,None,None,0,29,29,9,,,,,,,,,,,1,0.49188450002111495,66.11459639994428,None,66.11459639994428,None,66.11459639994428,None,66.68907730001956,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,train,Vehicles,ArrowUp.png,None,None,0,30,30,32,,,,,,,,,,,1,0.4745126999914646,67.78761150012724,None,67.78761150012724,None,67.78761150012724,None,68.35555110010318,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,bed.jpg,Furniture,ArrowUp.png,None,None,0,31,31,35,,,,,,,,,,,2,0.5910209999419749,69.43744840007275,None,69.43744840007275,None,69.43744840007275,None,70.12836130009964,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,paragliding.jpg,Vehicles,ArrowUp.png,None,None,0,32,32,26,,,,,,,,,,,2,0.614209400024265,71.20744349993765,None,71.20744349993765,None,71.20744349993765,None,71.9115720000118,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,turtle.jpg,Animal,ArrowRight.png,None,None,0,33,33,19,,,,,,,,,,,3,0.49717820016667247,72.93979860004038,None,72.93979860004038,None,72.93979860004038,None,73.47506450000219,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,lioness.jpg,Animal,ArrowLeft.png,None,None,0,34,34,12,,,,,,,,,,,1,0.48764749988913536,74.54254749999382,None,74.54254749999382,None,74.54254749999382,None,75.10894639999606,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,rocking_chair.jpg,Furniture,ArrowUp.png,None,None,0,35,35,44,,,,,,,,,,,2,0.461836300091818,76.12517790007405,None,76.12517790007405,None,76.12517790007405,None,76.64120820001699,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,bus.jpg,Vehicles,ArrowRight.png,None,None,0,36,36,22,,,,,,,,,,,3,0.5515652999747545,77.7264805000741,None,77.7264805000741,None,77.7264805000741,None,78.31060350011103,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,sofa.jpg,Furniture,ArrowLeft.png,None,None,0,37,37,45,,,,,,,,,,,1,0.4334899000823498,79.38426110008731,None,79.38426110008731,None,79.38426110008731,None,79.84442070010118,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,bedside_table.jpg,Furniture,ArrowLeft.png,None,None,0,38,38,36,,,,,,,,,,,1,0.3654483000282198,80.91238759993576,None,80.91238759993576,None,80.91238759993576,None,81.32657660008408,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,chair.jpg,Furniture,ArrowUp.png,None,None,0,39,39,38,,,,,,,,,,,2,0.44964160001836717,82.41085899993777,None,82.41085899993777,None,82.41085899993777,None,82.94936690013856,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,filling_cabinet.jpg,Furniture,ArrowUp.png,None,None,0,40,40,41,,,,,,,,,,,2,0.4784399999771267,83.96374760009348,None,83.96374760009348,None,83.96374760009348,None,84.49461779999547,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,plane.jpg,Vehicles,ArrowLeft.png,None,None,0,41,41,27,,,,,,,,,,,1,0.4248243998736143,85.58080870006233,None,85.58080870006233,None,85.58080870006233,None,86.03081170003861,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,lectern.jpg,Furniture,ArrowRight.png,None,None,0,42,42,43,,,,,,,,,,,3,0.4751588001381606,87.10429710010067,None,87.10429710010067,None,87.10429710010067,None,87.66278370004147,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,crocodile.jpg,Animal,ArrowUp.png,None,None,0,43,43,5,,,,,,,,,,,2,0.4802832000423223,88.7528134000022,None,88.7528134000022,None,88.7528134000022,None,89.31358520011418,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,armchair.jpg,Furniture,ArrowRight.png,None,None,0,44,44,34,,,,,,,,,,,3,0.5382236998993903,90.31676240009256,None,90.31676240009256,None,90.31676240009256,None,90.94094180013053,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,3,elephant.jpg,Animal,ArrowRight.png,None,None,0,45,45,7,,,,,,,,,,,3,0.6900244001299143,91.95233220001683,None,91.95233220001683,None,91.95233220001683,None,92.73068800009787,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,2,kangaroo.jpg,Animal,ArrowUp.png,None,None,0,46,46,11,,,,,,,,,,,2,0.4680235998239368,93.73591040004976,None,93.73591040004976,None,93.73591040004976,None,94.26767780003138,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,Chest_of_drawers.jpg,Furniture,ArrowLeft.png,None,None,0,47,47,39,,,,,,,,,,,1,0.7166917999275029,95.28394929994829,None,95.28394929994829,None,95.28394929994829,None,96.06671370007098,None,,,,,,,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,sofa.jpg,Furniture,ArrowLeft.png,None,None,,,,,0,0,0,45,,,,,,,,,,,,,,,99.82034910004586,None,2,2.664415700128302,97.1351505999919,None,97.1351505999919,None,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
None,1,lamp.jpg,Furniture,ArrowLeft.png,None,None,,,,,0,1,1,42,,,,,,,,,,,,,,,101.4525399999693,None,3,0.4553374000824988,100.90365050011314,None,100.90365050011314,None,,001,2021_Nov_10_1239,Gallery_fMRI,2021.2.3,None,
