NumberLetter,corrAns,StimFile,ImgType,ArrowImg,False_StimFile,DurationTrial,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,polygon.started,polygon.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,15.269712900044397,None,1,0.6569127000402659,15.269712900044397,None,,,,,,,,,,,,,,,,,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,1,armadillo.jpg,Animal,ArrowLeft.png,None,10,0,0,0,0,0,0,0,0,,,,,,,,,,,18.101158700184897,None,1,0.93039679992944,17.108959100209177,None,17.108959100209177,None,17.108959100209177,None,,,,,,,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,3,bat.jpg,Animal,ArrowRight.png,None,None,0,0,0,0,0,1,1,1,,,,,,,,,,,20.020998800173402,None,3,0.8162725002039224,19.185357300098985,None,19.185357300098985,None,19.185357300098985,None,,,,,,,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,1,cheetah.jpg,Animal,ArrowLeft.png,None,None,0,0,0,0,0,2,2,3,,,,,,,,,,,21.670838200021535,None,1,0.6354594000149518,21.021754499990493,None,21.021754499990493,None,21.021754499990493,None,,,,,,,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,2,cat.jpg,Animal,ArrowUp.png,None,None,0,0,0,0,0,3,3,2,,,,,,,,,,,23.254846600117162,None,2,0.5233897999860346,22.70562190003693,None,22.70562190003693,None,22.70562190003693,None,,,,,,,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,2,cat.jpg,Animal,ArrowUp.png,None,None,0,0,0,0,,,,,0,0,0,2,,,,,,,25.99267900013365,None,,,,,,,,,1,1.5617287999484688,24.346166300121695,None,24.346166300121695,None,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,3,bat.jpg,Animal,ArrowRight.png,None,None,0,0,0,0,,,,,0,1,1,1,,,,,,,27.674952200148255,None,,,,,,,,,3,0.6153825998771936,27.00846890010871,None,27.00846890010871,None,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,1,cheetah.jpg,Animal,ArrowLeft.png,None,None,0,0,0,0,,,,,0,2,2,3,,,,,,,29.339290300151333,None,,,,,,,,,2,0.5791305000893772,28.67662030016072,None,28.67662030016072,None,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,1,armadillo.jpg,Animal,ArrowLeft.png,None,10,0,0,0,0,,,,,0,3,3,0,,,,,,,30.991926999995485,None,,,,,,,,,3,0.614791999803856,30.34389190003276,None,30.34389190003276,None,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,3,bat.jpg,Animal,ArrowRight.png,None,None,1,0,1,0,0,0,0,1,,,,,,,,,,,34.210901900194585,None,3,1.092702099820599,33.0917837000452,None,33.0917837000452,None,33.0917837000452,None,,,,,,,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,1,armadillo.jpg,Animal,ArrowLeft.png,None,10,1,0,1,0,0,1,1,0,,,,,,,,,,,36.11148130008951,None,1,0.7683129000943154,35.29297860013321,None,35.29297860013321,None,35.29297860013321,None,,,,,,,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,2,cat.jpg,Animal,ArrowUp.png,None,None,1,0,1,0,0,2,2,2,,,,,,,,,,,38.04526660009287,None,2,0.773257500026375,37.19957060017623,None,37.19957060017623,None,37.19957060017623,None,,,,,,,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,1,cheetah.jpg,Animal,ArrowLeft.png,None,None,1,0,1,0,0,3,3,3,,,,,,,,,,,39.86290160007775,None,1,0.7206673000473529,39.12130520003848,None,39.12130520003848,None,39.12130520003848,None,,,,,,,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,1,cheetah.jpg,Animal,ArrowLeft.png,None,None,1,0,1,0,,,,,0,0,0,3,,,,,,,42.06423210003413,None,,,,,,,,,1,1.1092270000372082,40.92242610012181,None,40.92242610012181,None,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,2,cat.jpg,Animal,ArrowUp.png,None,None,1,0,1,0,,,,,0,1,1,2,,,,,,,43.94858970004134,None,,,,,,,,,3,0.7087332999799401,43.14761850005016,None,43.14761850005016,None,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,3,bat.jpg,Animal,ArrowRight.png,None,None,1,0,1,0,,,,,0,2,2,1,,,,,,,45.498603800078854,None,,,,,,,,,2,0.5173079997766763,44.9502489999868,None,44.9502489999868,None,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
None,1,armadillo.jpg,Animal,ArrowLeft.png,None,10,1,0,1,0,,,,,0,3,3,0,,,,,,,47.13278360012919,None,,,,,,,,,3,0.48868559999391437,46.56370529998094,None,46.56370529998094,None,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_10_1436,Gallery_fMRI,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,48.13329050014727,48.13329050014727,,,,,,,,,,,,,,,,,,,,,
