Condition_rows,NumberLetter,corrAns,StimFile,ImgType,ArrowImg,False_StimFile,DurationTrial,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,polygon.started,polygon.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,14.233648000052199,None,1,0.7217610999941826,14.233648000052199,None,,,,,,,,,,,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
40:44,None,2,filling_cabinet.jpg,Furniture,ArrowUp.png,None,None,0,0,0,10,0,0,0,1,,,,,,,,,,,16.782998400041834,None,2,0.6810482000000775,16.066084600053728,None,16.066084600053728,None,16.066084600053728,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
40:44,None,3,couch.jpg,Furniture,ArrowRight.png,None,None,0,0,0,10,0,1,1,0,,,,,,,,,,,18.569151900010183,None,2,0.6707210999447852,17.860284000169486,None,17.860284000169486,None,17.860284000169486,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
40:44,None,3,lectern.jpg,Furniture,ArrowRight.png,None,None,0,0,0,10,0,2,2,3,,,,,,,,,,,20.21040810015984,None,2,0.5510949001181871,19.570890299975872,None,19.570890299975872,None,19.570890299975872,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
40:44,None,1,lamp.jpg,Furniture,ArrowLeft.png,None,None,0,0,0,10,0,3,3,2,,,,,,,,,,,21.75363970012404,None,2,0.47297889995388687,21.2353877001442,None,21.2353877001442,None,21.2353877001442,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
40:44,None,2,filling_cabinet.jpg,Furniture,ArrowUp.png,None,None,0,0,0,10,,,,,0,0,0,1,,,,,,,23.270414700033143,None,,,,,,,,,2,0.3816268998198211,22.853238000068814,None,22.853238000068814,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
40:44,None,1,lamp.jpg,Furniture,ArrowLeft.png,None,None,0,0,0,10,,,,,0,1,1,2,,,,,,,24.671351100085303,None,,,,,,,,,2,0.3789289998821914,24.272713500075042,None,24.272713500075042,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
40:44,None,3,couch.jpg,Furniture,ArrowRight.png,None,None,0,0,0,10,,,,,0,2,2,0,,,,,,,26.171795000089332,None,,,,,,,,,2,0.36219330015592277,25.745388300158083,None,25.745388300158083,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
40:44,None,3,lectern.jpg,Furniture,ArrowRight.png,None,None,0,0,0,10,,,,,0,3,3,3,,,,,,,27.55586459999904,None,,,,,,,,,2,0.2926539999898523,27.174979800125584,None,27.174979800125584,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
40:44,,,,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
4:8,None,2,crocodile.jpg,Animal,ArrowUp.png,None,None,0,1,1,1,0,0,0,1,,,,,,,,,,,30.156958400039002,None,2,0.4319066000171006,29.638788799988106,None,29.638788799988106,None,29.638788799988106,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
4:8,None,1,dromedary.jpg,Animal,ArrowLeft.png,None,None,0,1,1,1,0,1,1,2,,,,,,,,,,,31.50761660002172,None,2,0.2732116999104619,31.218815400032327,None,31.218815400032327,None,31.218815400032327,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
4:8,None,3,elephant.jpg,Animal,ArrowRight.png,None,None,0,1,1,1,0,2,2,3,,,,,,,,,,,32.7585680000484,None,2,0.1921997000463307,32.52526050014421,None,32.52526050014421,None,32.52526050014421,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
4:8,None,3,cow.jpg,Animal,ArrowRight.png,None,None,0,1,1,1,0,3,3,0,,,,,,,,,,,33.875674000009894,None,2,0.08941879984922707,33.76143820001744,None,33.76143820001744,None,33.76143820001744,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
4:8,None,3,cow.jpg,Animal,ArrowRight.png,None,None,0,1,1,1,,,,,0,0,0,0,,,,,,,35.242626500083134,None,,,,,,,,,2,0.24996250006370246,34.95277660014108,None,34.95277660014108,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
4:8,None,1,dromedary.jpg,Animal,ArrowLeft.png,None,None,0,1,1,1,,,,,0,1,1,2,,,,,,,36.49420509999618,None,,,,,,,,,2,0.19141010008752346,36.24515990004875,None,36.24515990004875,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
4:8,None,2,crocodile.jpg,Animal,ArrowUp.png,None,None,0,1,1,1,,,,,0,2,2,1,,,,,,,37.66125110001303,None,,,,,,,,,2,0.06314189988188446,37.52707320009358,None,37.52707320009358,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
4:8,None,3,elephant.jpg,Animal,ArrowRight.png,None,None,0,1,1,1,,,,,0,3,3,3,,,,,,,38.90908250003122,None,,,,,,,,,2,0.2075149999000132,38.66312819998711,None,38.66312819998711,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
4:8,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
20:24,None,3,bus.jpg,Vehicles,ArrowRight.png,None,None,0,2,2,5,0,0,0,2,,,,,,,,,,,41.29596080002375,None,2,0.28949399990960956,40.995419800048694,None,40.995419800048694,None,40.995419800048694,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
20:24,None,2,car.jpg,Vehicles,ArrowUp.png,None,None,0,2,2,5,0,1,1,3,,,,,,,,,,,42.61321310000494,None,2,0.21807740000076592,42.377083600033075,None,42.377083600033075,None,42.377083600033075,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
20:24,None,2,zebra.jpg,Animal,ArrowUp.png,None,None,0,2,2,5,0,2,2,0,,,,,,,,,,,43.98001340008341,None,2,0.21278840000741184,43.68501030001789,None,43.68501030001789,None,43.68501030001789,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
20:24,None,1,boat.jpg,Vehicles,ArrowLeft.png,None,None,0,2,2,5,0,3,3,1,,,,,,,,,,,45.362131900154054,None,2,0.21994880004785955,45.0652526000049,None,45.0652526000049,None,45.0652526000049,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
20:24,None,2,car.jpg,Vehicles,ArrowUp.png,None,None,0,2,2,5,,,,,0,0,0,3,,,,,,,46.71466890000738,None,,,,,,,,,2,0.22990160016342998,46.464165800018236,None,46.464165800018236,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
20:24,None,1,boat.jpg,Vehicles,ArrowLeft.png,None,None,0,2,2,5,,,,,0,1,1,1,,,,,,,47.997401900123805,None,,,,,,,,,2,0.16869090008549392,47.71769200009294,None,47.71769200009294,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
