Condition_rows,NumberLetter,corrAns,StimFile,ImgType,ArrowImg,False_StimFile,DurationTrial,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,polygon.started,polygon.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,direction_options.started,direction_options.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,15.756305799994152,None,1,6.980127999995602,15.756305799994152,None,,,,,,,,,,,,,,,,,,,,001,2021_Nov_12_1039,Gallery_fMRI,2021.2.3,None,
32:36,None,1,van.jpg,Vehicles,ArrowLeft.png,None,None,0,0,0,8,0,0,0,1,,,,,,,,,,,1,1.2477595999953337,22.84317340000416,None,22.84317340000416,None,22.84317340000416,None,25.79187680000905,None,,,,,,,,,,001,2021_Nov_12_1039,Gallery_fMRI,2021.2.3,None,
32:36,None,2,train,Vehicles,ArrowUp.png,None,None,0,0,0,8,0,1,1,0,,,,,,,,,,,2,0.6913709999935236,26.80988939999952,None,26.80988939999952,None,26.80988939999952,None,29.79410359999747,None,,,,,,,,,,001,2021_Nov_12_1039,Gallery_fMRI,2021.2.3,None,
32:36,None,3,armchair.jpg,Furniture,ArrowRight.png,None,None,0,0,0,8,0,2,2,2,,,,,,,,,,,3,0.717418699990958,30.844372000021394,None,30.844372000021394,None,30.844372000021394,None,33.777940800006036,None,,,,,,,,,,001,2021_Nov_12_1039,Gallery_fMRI,2021.2.3,None,
32:36,None,2,bed.jpg,Furniture,ArrowUp.png,None,None,0,0,0,8,0,3,3,3,,,,,,,,,,,2,2.129432799993083,34.77876899999683,None,34.77876899999683,None,34.77876899999683,None,37.77948580001248,None,,,,,,,,,,001,2021_Nov_12_1039,Gallery_fMRI,2021.2.3,None,
32:36,None,3,armchair.jpg,Furniture,ArrowRight.png,None,None,0,0,0,8,,,,,0,0,0,2,,,,,,,,,,,,,,,41.78445500001544,None,2,1.6179803000122774,38.8494306000066,None,38.8494306000066,None,38.8494306000066,None,,001,2021_Nov_12_1039,Gallery_fMRI,2021.2.3,None,
32:36,None,1,van.jpg,Vehicles,ArrowLeft.png,None,None,0,0,0,8,,,,,0,1,1,1,,,,,,,,,,,,,,,45.784035999997286,None,3,0.5116711999871768,42.8175493000017,None,42.8175493000017,None,42.8175493000017,None,,001,2021_Nov_12_1039,Gallery_fMRI,2021.2.3,None,
32:36,None,2,bed.jpg,Furniture,ArrowUp.png,None,None,0,0,0,8,,,,,0,2,2,3,,,,,,,,,,,,,,,49.76998929999536,None,None,,46.8338739000028,None,46.8338739000028,None,46.8338739000028,None,,001,2021_Nov_12_1039,Gallery_fMRI,2021.2.3,None,
32:36,None,2,train,Vehicles,ArrowUp.png,None,None,0,0,0,8,,,,,0,3,3,0,,,,,,,,,,,,,,,53.78715320001356,None,None,,50.83670000001439,None,50.83670000001439,None,50.83670000001439,None,,001,2021_Nov_12_1039,Gallery_fMRI,2021.2.3,None,
32:36,,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_12_1039,Gallery_fMRI,2021.2.3,None,
24:28,None,1,plane.jpg,Vehicles,ArrowLeft.png,None,None,0,1,1,6,0,0,0,3,,,,,,,,,,,1,1.3304687999770977,54.8555575000064,None,54.8555575000064,None,54.8555575000064,None,57.788517900014995,None,,,,,,,,,,001,2021_Nov_12_1039,Gallery_fMRI,2021.2.3,None,
24:28,None,1,cart.jpg,Vehicles,ArrowLeft.png,None,None,0,1,1,6,0,1,1,0,,,,,,,,,,,1,1.7779949000105262,58.79201350000221,None,58.79201350000221,None,58.79201350000221,None,61.77462870001909,None,,,,,,,,,,001,2021_Nov_12_1039,Gallery_fMRI,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,,62.77470949999406,None,62.77470949999406,None,62.77470949999406,None,,,,,,,,,,,,,,,,,
