corrAns,StimFile,ImgType,ArrowImg,ImgOrientation,Direction,Scrambled,old,Condition_rows,Condition_rows_practice,ScrambledTrials_1.thisRepN,ScrambledTrials_1.thisTrialN,ScrambledTrials_1.thisN,ScrambledTrials_1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,ScrambledTrials_2.thisRepN,ScrambledTrials_2.thisTrialN,ScrambledTrials_2.thisN,ScrambledTrials_2.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_2.started,polygon_2.stopped,Scrambled_img.started,Scrambled_img.stopped,Arrow1.started,Arrow1.stopped,text_3.started,text_3.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,Congruency,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,direction_options.started,direction_options.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,75.2422651178722,107.36353183568042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
1,Images/cheetah.jpg,Animal,ArrowLeft.png,None,ArrowLeft.png,Images/cheetah_scrambled.jpg,None,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,107.36353183568042,None,183.21033208059737,None,183.21033208059737,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
3,Images/snake.jpg,Animal,ArrowRight.png,None,neutral,Images/snake_scrambled.jpg,None,,,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,186.67870284352296,None,186.67870284352296,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
3,Images/turtle.jpg,Animal,ArrowRight.png,None,neutral,Images/turtle_scrambled.jpg,None,,,0,2,2,17,,,,,,,,,,,,,,,,,,,,,,,190.66137186317496,None,190.66137186317496,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
3,Images/horse.jpg,Animal,ArrowRight.png,None,ArrowLeft.png,Images/horse_scrambled.jpg,None,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,194.67847499337267,None,194.67847499337267,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
2,Images/crocodile.jpg,Animal,ArrowUp.png,right,ArrowLeft.png,Images/crocodile_scrambled.jpg,None,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,198.66183254861392,None,198.66183254861392,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
3,Images/bus.jpg,Vehicles,ArrowRight.png,None,neutral,Images/bus_scrambled.jpg,None,,,0,5,5,20,,,,,,,,,,,,,,,,,,,,,,,202.69447904716992,None,202.69447904716992,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
2,Images/giraffe.jpg,Animal,ArrowUp.png,None,ArrowLeft.png,Images/giraffe_scrambled.jpg,None,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,206.7106420389099,None,206.7106420389099,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
1,Images/boat.jpg,Vehicles,ArrowLeft.png,None,neutral,Images/boat_scrambled.jpg,None,,,0,7,7,19,,,,,,,,,,,,,,,,,,,,,,,210.71049834962594,None,210.71049834962594,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
3,Images/cow.jpg,Animal,ArrowRight.png,None,ArrowLeft.png,Images/cow_scrambled.jpg,None,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,214.69405824283842,None,214.69405824283842,None,,,,,,,,,,,,,,,,,,,,,,pilot1,001,2022_Mar_25_1128,Gallery_fMRI_OneShotLearning,2021.1.4,59.98912850355674,
